Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
159,Jake Bauers*,27,NYY,-0.9,84,272,242,28,49,15,0,12,30,3,2,27,95,0.202,0.279,0.413,0.693,87,0.301,86,100,3,0,0,3,0,973H/D,
160,Oscar Colás*,24,CHW,-1.5,75,263,245,32,53,9,0,5,19,4,3,12,71,0.216,0.257,0.314,0.571,57,0.247,49,77,5,2,2,2,1,9/8HD,
161,Kyle Higashioka,33,NYY,-0.3,92,260,242,24,57,13,0,10,34,0,0,14,74,0.236,0.274,0.413,0.687,85,0.295,81,100,5,0,1,3,0,2/HD,
162,Vinnie Pasquantino*,25,KCR,0,61,260,231,24,57,17,0,9,26,0,0,25,31,0.247,0.324,0.437,0.762,106,0.328,104,101,7,2,0,1,2,3D/H,
163,Santiago Espinal,28,TOR,0.3,93,254,230,30,57,14,0,2,25,2,1,18,36,0.248,0.31,0.335,0.644,79,0.291,80,77,5,3,2,1,1,45H6/D,
164,Matt Wallner*,25,MIN,2.2,76,254,213,42,53,11,1,14,41,2,1,28,80,0.249,0.37,0.507,0.877,138,0.386,146,108,1,13,0,0,1,79/DH,
165,Zack Short,28,DET,0.5,110,253,221,17,45,9,0,7,33,5,0,28,66,0.204,0.292,0.339,0.631,75,0.284,72,75,3,0,3,1,0,465H/189D,
166,Mike Ford*,30,SEA,0.8,83,251,219,32,50,6,0,16,34,0,0,24,81,0.228,0.323,0.475,0.798,124,0.341,123,104,4,7,0,1,0,DH3/1,
167,Mike Moustakas*,34,LAA,-0.5,65,250,237,22,56,8,0,8,31,0,0,6,61,0.236,0.256,0.371,0.627,69,0.277,67,88,6,2,0,5,0,53/DH,
168,Rob Refsnyder,32,BOS,0.4,89,243,202,31,50,9,1,1,28,7,2,33,47,0.248,0.365,0.317,0.682,87,0.327,98,64,8,5,1,1,0,7H8/D9,
169,Royce Lewis,24,MIN,2.4,58,239,217,36,67,7,0,15,52,6,1,20,55,0.309,0.372,0.548,0.921,149,0.393,148,119,5,2,0,0,0,5/DH6,
170,Freddy Fermin,28,KCR,1.6,70,235,217,26,61,10,1,9,32,0,0,13,50,0.281,0.321,0.461,0.781,110,0.335,108,100,11,1,1,3,0,2/HD,
171,Josh Smith*,25,TEX,1,90,232,195,29,36,8,1,6,15,1,0,25,55,0.185,0.304,0.328,0.633,76,0.293,80,64,3,9,2,1,0,657H/D4,
172,Bo Naylor*,23,CLE,1.4,67,230,198,33,47,13,0,11,32,5,0,30,53,0.237,0.339,0.47,0.809,121,0.35,119,93,2,1,0,1,1,2/H,
173,Gio Urshela,31,LAA,0.7,62,228,214,22,64,8,1,2,24,3,2,10,36,0.299,0.329,0.374,0.703,92,0.31,92,80,9,1,0,3,0,53/6H4,
174,Jordan Westburg,24,BAL,1.2,68,228,208,26,54,17,2,3,23,4,1,16,56,0.26,0.311,0.404,0.715,100,0.316,101,84,3,1,0,3,0,45H/D,
175,James McCann,33,BAL,0.5,69,226,207,25,46,14,0,6,26,3,1,9,57,0.222,0.269,0.377,0.646,79,0.287,80,78,5,5,3,2,0,2/DH31,
176,Kolten Wong*,32,SEA,-1.1,67,216,194,21,32,6,0,2,19,1,1,16,46,0.165,0.241,0.227,0.468,35,0.213,33,44,0,4,0,2,0,4/H,
177,Trevor Larnach*,26,MIN,0,58,212,183,26,39,7,3,8,40,1,1,27,72,0.213,0.311,0.415,0.727,97,0.318,98,76,2,0,0,2,1,79/HD,
178,Matt Duffy,32,KCR,0.2,78,209,191,17,48,8,0,2,16,1,0,12,39,0.251,0.306,0.325,0.631,73,0.298,81,62,4,4,0,2,0,54H3/D16,
179,Randal Grichuk,31,LAA,0.3,54,208,194,25,42,12,1,8,17,0,0,11,45,0.216,0.264,0.412,0.677,81,0.287,74,80,5,2,0,1,0,7/H8D,
180,Christian Arroyo,28,BOS,-0.2,66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,70,0.266,61,72,8,1,1,2,0,4/H56,
181,Reese McGuire*,28,BOS,-0.3,72,206,187,15,50,12,1,1,16,2,1,11,53,0.267,0.31,0.358,0.668,80,0.295,76,67,2,1,2,1,0,2H/D,
182,Logan O'Hoppe,23,LAA,0.6,51,199,182,23,43,6,0,14,29,0,1,14,48,0.236,0.296,0.5,0.796,112,0.331,108,91,4,2,0,1,0,2/DH,
183,Oswald Peraza,23,NYY,-0.5,52,191,173,15,33,8,0,2,14,4,3,13,50,0.191,0.267,0.272,0.539,49,0.244,47,47,1,5,0,0,0,54/6HD,
184,Nicky Lopez*,28,KCR,1,68,190,160,19,34,5,3,0,13,4,2,21,30,0.213,0.323,0.281,0.604,68,0.278,67,45,3,5,4,0,0,45/H637D,
185,Eduardo Escobar#,34,LAA,-1.2,59,189,178,17,39,3,3,2,15,0,1,10,54,0.219,0.259,0.303,0.563,54,0.253,51,54,3,0,0,1,0,5H4/31D,
186,Carlos Pérez,32,OAK,0.5,66,189,168,17,38,4,0,6,20,0,0,13,40,0.226,0.293,0.357,0.65,83,0.29,84,60,4,4,1,3,0,2H3D/17,
187,Pablo Reyes,29,BOS,0.4,64,185,167,27,48,9,0,2,20,7,2,14,21,0.287,0.339,0.377,0.716,94,0.329,99,63,3,0,2,2,0,64H/513D,
188,Anthony Rendon,33,LAA,0.1,43,183,148,23,35,6,0,2,22,2,0,25,27,0.236,0.361,0.318,0.678,89,0.319,95,47,6,6,0,4,0,5,
189,Oscar González,25,CLE,-1.4,54,180,173,15,37,7,2,2,12,0,0,5,46,0.214,0.239,0.312,0.551,51,0.25,51,54,2,1,0,1,0,9D/H7,
190,Seby Zavala,29,CHW,-0.3,66,176,161,15,25,3,0,7,16,1,0,10,68,0.155,0.207,0.304,0.511,39,0.228,32,49,4,1,2,2,0,2/H,
191,Kole Calhoun*,35,CLE,0,43,174,157,18,34,7,0,6,25,0,1,13,37,0.217,0.282,0.376,0.657,80,0.288,80,59,3,2,0,2,0,3D/9H,
192,Lenyn Sosa,23,CHW,-0.7,52,173,164,12,33,6,0,6,14,0,1,5,40,0.201,0.224,0.348,0.571,54,0.247,48,57,3,0,3,1,1,45/H,
193,Chad Wallach,31,LAA,0.1,65,172,157,18,31,5,1,7,15,0,1,13,57,0.197,0.259,0.376,0.635,71,0.281,72,59,5,0,2,0,0,2/HD3,
194,Tyler Freeman,24,CLE,-0.3,64,168,153,20,37,7,0,4,18,5,0,10,30,0.242,0.295,0.366,0.661,82,0.294,77,56,3,2,2,1,0,5H46D/37,
195,Trevor Story,30,BOS,0.8,43,168,158,12,32,9,0,3,14,10,3,9,55,0.203,0.25,0.316,0.566,52,0.272,58,50,2,1,0,0,0,6/DH4,
196,Jose Trevino,30,NYY,0.5,55,168,157,15,33,4,0,4,15,0,0,8,22,0.21,0.257,0.312,0.57,56,0.272,64,49,6,2,1,0,0,2/H,
197,Dylan Moore,30,SEA,0.5,67,165,145,18,30,9,1,7,19,7,3,16,56,0.207,0.303,0.428,0.731,106,0.321,109,62,1,4,0,0,0,H47/6D9385,
198,Francisco Mejia#,27,TBR,0.1,50,160,150,22,34,11,0,5,19,0,1,6,38,0.227,0.258,0.4,0.658,79,0.281,76,60,2,1,1,2,0,2/H,
199,Zach Remillard,29,CHW,0.1,54,160,147,16,37,7,0,1,18,4,3,8,48,0.252,0.295,0.32,0.615,70,0.275,69,47,3,1,4,0,1,4/H5976D,
200,Tom Murphy,32,SEA,1.2,47,159,145,19,42,12,0,8,17,0,0,10,44,0.29,0.335,0.538,0.873,144,0.365,141,78,4,1,0,2,0,2/DH,
201,José Miranda,25,MIN,-0.2,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,55,0.261,57,43,8,1,0,0,0,5/D3H,
202,Jonathan Schoop,31,DET,-0.4,55,151,136,15,29,8,0,0,7,0,0,13,37,0.213,0.278,0.272,0.55,54,0.245,47,37,6,0,0,2,0,45H/16D,
203,Willie Calhoun*,28,NYY,-0.2,44,149,134,16,32,7,0,5,16,0,0,14,20,0.239,0.309,0.403,0.712,94,0.305,88,54,2,0,0,1,1,D/9H7,
204,Cam Gallagher,30,CLE,-1.1,56,149,143,6,18,6,0,0,7,0,0,4,46,0.126,0.154,0.168,0.322,-11,0.143,-26,24,3,1,0,1,0,2,
205,Enmanuel Valdéz*,24,BOS,0,49,149,139,17,37,8,0,6,19,5,1,8,37,0.266,0.311,0.453,0.764,103,0.335,102,63,4,1,0,0,0,4/H6D,
206,Billy McKinney*,28,NYY,0.2,48,147,128,19,29,3,1,6,14,1,0,17,39,0.227,0.32,0.406,0.726,98,0.314,93,52,1,1,0,1,1,79/8H3,
207,Nelson Velázquez,24,KCR,1.1,40,147,133,27,31,4,0,14,28,0,0,11,43,0.233,0.299,0.579,0.878,132,0.38,140,77,2,2,0,1,0,9D/7H,
208,Kevin Smith,26,OAK,-0.3,49,146,135,15,25,4,0,5,11,1,0,5,51,0.185,0.22,0.326,0.546,52,0.235,42,44,3,1,5,0,0,65/HD,
209,Parker Meadows*,23,DET,1,37,145,125,19,29,4,2,3,13,8,1,17,37,0.232,0.331,0.368,0.699,94,0.329,100,46,0,2,0,1,1,8/DH,
210,Dominic Canzone*,25,SEA,0.1,44,141,135,19,29,11,0,5,13,1,0,6,24,0.215,0.248,0.407,0.656,83,0.299,92,55,4,0,0,0,0,7D/9H,
211,Davis Schneider,24,TOR,1.8,35,141,116,23,32,12,1,8,20,1,0,21,43,0.276,0.404,0.603,1.008,174,0.429,178,70,2,4,0,0,0,4/D57H,
212,Mike Zunino,32,CLE,-0.6,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,60,0.258,56,38,3,1,0,0,0,2,
213,Ryan McKenna,26,BAL,0.5,88,139,122,23,31,7,0,2,18,5,0,9,40,0.254,0.316,0.361,0.677,91,0.309,90,44,4,3,3,2,0,98H7/1D,
214,Dairon Blanco,30,KCR,1.2,69,138,124,19,32,7,4,3,18,24,5,10,33,0.258,0.324,0.452,0.775,109,0.37,118,56,2,2,2,0,0,79H/8D,
215,AJ Pollock,35,SEA,-0.5,49,138,127,15,22,4,0,5,15,0,1,9,30,0.173,0.225,0.323,0.547,54,0.243,56,41,1,0,0,2,0,D7H,
216,Tyler Soderstrom*,21,OAK,-1.1,45,138,125,9,20,1,0,3,7,0,0,11,43,0.16,0.232,0.24,0.472,34,0.215,31,30,6,1,0,1,0,D23/H,
217,Josh Rojas*,29,SEA,0.8,46,134,125,24,34,4,0,4,14,6,0,9,30,0.272,0.321,0.4,0.721,105,0.33,108,50,1,0,0,0,0,4/H5,
218,Nolan Schanuel*,21,LAA,0.1,29,132,109,19,30,3,0,1,6,0,0,20,19,0.275,0.402,0.33,0.732,104,0.334,108,36,1,3,0,0,1,3/DH,
219,Lawrence Butler*,22,OAK,-0.5,42,129,123,10,26,4,0,4,10,0,0,4,35,0.211,0.24,0.341,0.582,62,0.256,60,42,5,1,0,1,0,8/H9,
220,Josh Donaldson,37,NYY,0,33,120,106,13,15,1,0,10,15,0,0,12,32,0.142,0.225,0.434,0.659,75,0.274,66,46,2,0,0,2,0,5/DH1,
221,Jared Walsh*,29,LAA,-0.9,39,116,104,10,13,4,0,4,11,0,0,11,45,0.125,0.216,0.279,0.494,34,0.221,27,29,1,1,0,0,0,3/9HD,
222,Jesús Aguilar,33,OAK,-0.6,36,115,104,8,23,2,0,5,9,0,0,8,31,0.221,0.281,0.385,0.665,86,0.281,77,40,3,1,0,1,2,3/DH,
223,Jackie Bradley Jr.*,33,KCR,-0.4,43,113,105,10,14,5,0,1,6,0,0,5,29,0.133,0.188,0.21,0.397,9,0.188,3,22,3,2,1,0,0,89/7H,
224,David Fry,27,CLE,0.4,57,113,101,12,24,6,0,4,15,2,0,8,30,0.238,0.319,0.416,0.734,101,0.332,106,42,3,4,0,0,0,23H/917D5,
225,Yu Chang,27,BOS,0.1,39,112,105,12,17,2,0,6,18,4,0,3,34,0.162,0.2,0.352,0.552,45,0.252,39,37,2,2,2,0,0,6/4H35D,
226,Tyler Nevin,26,DET,-0.5,41,111,95,11,19,3,1,2,10,0,1,12,25,0.2,0.306,0.316,0.622,73,0.283,77,30,1,3,0,1,0,5HD/379,
227,Luis Urías,26,BOS,0,32,109,89,13,20,4,0,2,13,0,0,14,26,0.225,0.361,0.337,0.698,91,0.317,93,30,3,5,0,0,0,4/5H,
228,Sam Haggerty#,29,SEA,0.3,52,108,91,13,23,3,1,1,5,10,1,15,17,0.253,0.364,0.341,0.705,104,0.335,107,31,0,1,1,0,0,H7D4/389,
229,Raimel Tapia*,29,2TM,0.6,44,108,96,18,26,4,1,1,10,8,1,11,20,0.271,0.346,0.365,0.71,93,0.333,96,35,1,0,0,0,0,H79/8D,
229,Raimel Tapia*,29,BOS,0.4,39,97,87,14,23,4,1,1,10,6,1,9,19,0.264,0.333,0.368,0.701,90,0.325,92,32,1,0,0,0,0,H7/89D,
229,Raimel Tapia*,29,TBR,0.1,5,11,9,4,3,0,0,0,0,2,0,2,1,0.333,0.455,0.333,0.788,125,0.404,132,3,0,0,0,0,0,/79H,
230,Jonah Bride,27,OAK,-0.5,40,106,88,9,15,3,0,0,7,0,1,11,22,0.17,0.286,0.205,0.49,43,0.232,46,18,3,4,1,2,0,5/HD3,
231,René Pinto,26,TBR,0.3,38,105,103,10,26,3,0,6,16,0,0,2,34,0.252,0.267,0.456,0.723,96,0.313,97,47,2,0,0,0,0,1-Feb,
232,Jonathan Aranda*,25,TBR,0.2,34,103,87,13,20,4,1,2,13,0,0,13,31,0.23,0.34,0.368,0.708,97,0.309,94,32,1,2,0,1,1,D3H/45,
233,Everson Pereira,22,NYY,-0.6,27,103,93,6,14,4,0,0,10,4,0,8,40,0.151,0.233,0.194,0.427,20,0.211,14,18,1,2,0,0,0,7,
234,Cade Marlowe*,26,SEA,1.1,34,100,88,14,21,3,2,3,11,4,2,12,33,0.239,0.33,0.42,0.75,113,0.325,112,37,1,0,0,0,0,7/H89D,
235,David Fletcher,29,LAA,0.1,33,97,89,7,22,1,0,2,12,0,0,7,9,0.247,0.302,0.326,0.628,72,0.275,65,29,2,0,1,0,1,64/5H,
236,Romy González,26,CHW,-0.4,44,97,93,11,18,4,2,3,14,7,0,2,36,0.194,0.208,0.376,0.585,56,0.261,45,35,0,0,1,1,0,4H/9D7658,
237,Osleivis Basabe,22,TBR,0.4,31,94,87,15,19,5,0,1,12,0,1,6,25,0.218,0.277,0.31,0.587,63,0.263,65,27,2,1,0,0,0,6/5H497,
238,David Hensley,27,HOU,-0.7,30,94,84,12,10,1,0,1,3,1,0,10,35,0.119,0.213,0.167,0.379,8,0.205,17,14,0,0,0,0,0,D/4H375,
239,Andrew Velazquez#,28,LAA,-0.5,54,94,81,12,14,3,0,2,3,13,3,10,30,0.173,0.264,0.284,0.548,50,0.262,43,23,1,0,3,0,0,6H4/8,
240,Nick Gordon*,27,MIN,-0.3,34,93,91,13,16,5,1,2,7,0,0,1,11,0.176,0.185,0.319,0.503,35,0.222,28,29,1,0,1,0,0,874H/6,
241,Curtis Mead,22,TBR,0.5,24,92,83,12,21,3,1,1,5,0,0,7,21,0.253,0.326,0.349,0.675,89,0.299,87,29,3,2,0,0,0,5/46DH,
242,Trayce Thompson,32,CHW,-0.4,36,92,82,5,14,2,0,1,3,2,0,9,40,0.171,0.261,0.232,0.493,38,0.241,40,19,1,1,0,0,0,89/H7,
243,Hunter Dozier,31,KCR,-0.3,29,91,82,8,15,2,1,2,9,2,0,8,29,0.183,0.253,0.305,0.558,52,0.269,57,25,0,0,0,1,0,5/397HD,
244,Hanser Alberto,30,CHW,0.3,30,90,82,11,18,5,0,3,16,0,0,4,13,0.22,0.261,0.39,0.652,76,0.289,77,32,1,1,2,1,0,54/13H,
245,Jordan Luplow,29,2TM,0,39,90,77,11,16,3,0,2,5,2,0,12,27,0.208,0.322,0.325,0.647,79,0.293,76,25,1,1,0,0,1,7H/9D318,
245,Jordan Luplow,29,TOR,-0.1,7,17,14,1,3,0,0,0,1,0,0,3,8,0.214,0.353,0.214,0.567,63,0.254,51,3,0,0,0,0,1,/9HD,
245,Jordan Luplow,29,MIN,0.1,32,73,63,10,13,3,0,2,4,2,0,9,19,0.206,0.315,0.349,0.664,83,0.302,81,22,1,1,0,0,0,7H/39D18,
246,Ceddanne Rafaela,22,BOS,0,28,89,83,11,20,6,0,2,5,3,1,4,28,0.241,0.281,0.386,0.666,78,0.287,70,32,2,1,0,1,0,8/H64D,
